Wall time,Step,Value
1575953599.2128484,0,15.0
1575953599.8361902,10,16.0
1575953600.000829,20,9.0
1575953600.172497,30,9.0
1575953600.3408418,40,8.0
1575953600.5131414,50,19.0
1575953601.130758,60,10.0
1575953601.2977061,70,8.0
1575953601.4790447,80,10.0
1575953601.645662,90,9.0
1575953602.755471,100,19.0
1575953604.7448964,110,44.0
1575953607.1751719,120,33.0
1575953610.3786542,130,200.0
1575953613.3661058,140,131.0
1575953614.988062,150,143.0
1575953624.9658906,160,65.0
1575953627.6330166,170,122.0
1575953630.4172287,180,111.0
1575953631.6690316,190,13.0
1575953632.459266,200,12.0
1575953635.3324351,210,21.0
1575953637.3320508,220,200.0
1575953638.219759,230,31.0
1575953639.4111788,240,44.0
1575953640.4450126,250,13.0
1575953642.1053598,260,12.0
1575953643.033738,270,10.0
1575953644.5031543,280,47.0
1575953645.677807,290,28.0
1575953646.6717248,300,12.0
1575953648.1321204,310,11.0
1575953648.8157208,320,10.0
1575953649.4721801,330,14.0
1575953650.2233949,340,10.0
1575953650.8223603,350,18.0
1575953652.6014848,360,107.0
1575953653.1688142,370,20.0
1575953653.8476582,380,10.0
1575953654.7314315,390,77.0
1575953656.2132971,400,81.0
1575953660.9786773,410,32.0
1575953661.5821395,420,28.0
1575953662.1930046,430,29.0
1575953663.102937,440,47.0
1575953664.4478118,450,100.0
1575953666.3947024,460,14.0
1575953667.4382775,470,35.0
1575953668.1127136,480,56.0
1575953669.400165,490,30.0
1575953671.0436552,500,52.0
1575953672.7966344,510,39.0
1575953673.5821388,520,28.0
1575953674.199729,530,20.0
1575953674.7176602,540,16.0
1575953675.405379,550,12.0
1575953676.5033388,560,11.0
1575953677.2775736,570,37.0
1575953678.9447665,580,23.0
1575953680.1830902,590,23.0
1575953680.8293576,600,13.0
1575953684.652431,610,11.0
1575953685.2606714,620,20.0
1575953686.8813097,630,50.0
1575953688.0076106,640,23.0
1575953688.8702068,650,13.0
1575953690.3882523,660,21.0
1575953691.2968268,670,26.0
1575953691.9058707,680,18.0
1575953693.0576603,690,45.0
1575953694.2687306,700,28.0
1575953695.857598,710,11.0
1575953697.1091034,720,51.0
1575953697.9276073,730,12.0
1575953698.4455,740,19.0
1575953699.1257,750,26.0
1575953703.0653894,760,24.0
1575953703.9836621,770,12.0
1575953705.1558952,780,89.0
1575953706.7965763,790,47.0
1575953707.5799232,800,55.0
1575953709.7021992,810,11.0
1575953710.472796,820,46.0
1575953711.3762953,830,10.0
1575953712.616609,840,12.0
1575953713.444639,850,12.0
1575953714.788265,860,17.0
1575953715.3203993,870,12.0
1575953716.010594,880,10.0
1575953716.6673195,890,11.0
1575953717.685809,900,22.0
1575953719.1716871,910,10.0
1575953720.076442,920,36.0
1575953720.6450226,930,11.0
1575953721.4588425,940,11.0
1575953722.285128,950,22.0
1575953726.2329674,960,103.0
1575953727.2032375,970,29.0
1575953727.9750717,980,41.0
1575953728.8233519,990,11.0
1575953729.6138427,1000,28.0
1575953731.0211928,1010,19.0
1575953732.1048524,1020,18.0
1575953733.0138977,1030,47.0
1575953734.1766307,1040,10.0
1575953734.8861768,1050,11.0
1575953738.7601762,1060,48.0
1575953739.8521025,1070,62.0
1575953740.790083,1080,23.0
1575953741.7133408,1090,36.0
1575953742.266708,1100,23.0
1575953743.5549133,1110,21.0
1575953744.4691632,1120,105.0
1575953745.908283,1130,176.0
1575953746.6594255,1140,9.0
1575953747.3074434,1150,11.0
1575953750.4130876,1160,12.0
1575953750.8657625,1170,11.0
1575953751.6151738,1180,10.0
1575953752.412786,1190,9.0
1575953752.9460804,1200,12.0
1575953754.28253,1210,29.0
1575953755.45192,1220,31.0
1575953756.1520178,1230,11.0
1575953756.7678807,1240,51.0
1575953757.7893481,1250,36.0
1575953761.4395256,1260,24.0
1575953762.4155192,1270,35.0
1575953763.511847,1280,23.0
1575953764.1066704,1290,11.0
1575953765.547104,1300,18.0
1575953768.8003743,1310,34.0
1575953769.3782477,1320,9.0
1575953770.25355,1330,14.0
1575953771.1132596,1340,27.0
1575953771.9434657,1350,21.0
1575953773.2112567,1360,9.0
1575953774.078189,1370,13.0
1575953774.9995263,1380,12.0
1575953775.926352,1390,33.0
1575953777.0250807,1400,43.0
1575953778.3065426,1410,10.0
1575953778.8955412,1420,10.0
1575953779.4550538,1430,41.0
1575953780.069566,1440,19.0
1575953780.6322286,1450,36.0
1575953781.9281192,1460,19.0
1575953782.7084262,1470,13.0
1575953784.1260748,1480,23.0
1575953785.6814451,1490,35.0
1575953786.3965952,1500,27.0
1575953787.6743178,1510,25.0
1575953788.2477462,1520,31.0
1575953789.123756,1530,44.0
1575953789.9341598,1540,28.0
1575953791.17169,1550,65.0
1575953794.0220695,1560,11.0
1575953794.6774087,1570,9.0
1575953795.232007,1580,14.0
1575953796.0335357,1590,22.0
1575953796.6780381,1600,9.0
1575953797.6634939,1610,11.0
1575953798.2980592,1620,26.0
1575953799.2427762,1630,10.0
1575953800.8025427,1640,28.0
1575953801.8390524,1650,33.0
1575953802.8910754,1660,16.0
