Wall time,Step,Value
1575939354.726136,0,8.0
1575939355.236949,10,10.0
1575939355.3749826,20,9.0
1575939355.5111957,30,8.0
1575939355.6479797,40,10.0
1575939355.7831504,50,10.0
1575939356.2564838,60,10.0
1575939356.3916354,70,10.0
1575939356.5249581,80,8.0
1575939356.6893756,90,9.0
1575939356.8245635,100,9.0
1575939357.62111,110,9.0
1575939357.9978433,120,10.0
1575939358.37134,130,10.0
1575939358.7395382,140,12.0
1575939359.1108515,150,9.0
1575939359.7973375,160,9.0
1575939360.1749136,170,11.0
1575939360.541222,180,9.0
1575939360.9008255,190,10.0
1575939361.2747474,200,11.0
1575939362.079808,210,14.0
1575939362.5543332,220,15.0
1575939362.9854333,230,14.0
1575939363.4414313,240,10.0
1575939364.066883,250,13.0
1575939364.9440343,260,12.0
1575939365.3625586,270,12.0
1575939365.8214052,280,12.0
1575939366.2952752,290,11.0
1575939366.7675354,300,12.0
1575939367.7519886,310,14.0
1575939368.2050593,320,14.0
1575939368.6329875,330,15.0
1575939369.0919316,340,12.0
1575939369.5637236,350,15.0
1575939370.4696403,360,12.0
1575939370.983822,370,14.0
1575939371.4937027,380,12.0
1575939371.973647,390,13.0
1575939372.4717135,400,18.0
1575939373.5364695,410,16.0
1575939373.943666,420,10.0
1575939374.4352515,430,11.0
1575939374.9739451,440,16.0
1575939375.5274904,450,15.0
1575939376.8886151,460,18.0
1575939377.43126,470,16.0
1575939378.165418,480,20.0
1575939379.1435702,490,48.0
1575939380.0138795,500,18.0
1575939382.3537607,510,18.0
1575939383.2815733,520,17.0
1575939384.5735555,530,19.0
1575939385.9496322,540,31.0
1575939387.3535419,550,42.0
1575939390.5720968,560,45.0
1575939393.0283637,570,153.0
1575939395.5131423,580,92.0
1575939399.0020533,590,200.0
1575939403.5497515,600,134.0
1575939412.626722,610,190.0
1575939417.6833708,620,200.0
1575939422.8145857,630,174.0
1575939427.9553185,640,161.0
1575939433.007892,650,200.0
1575939443.2326188,660,161.0
1575939447.8179934,670,163.0
1575939452.3353567,680,159.0
1575939457.0051863,690,153.0
1575939461.7028315,700,200.0
1575939471.9268556,710,101.0
1575939476.3474238,720,170.0
1575939481.358778,730,200.0
1575939486.2926037,740,200.0
1575939490.879057,750,161.0
1575939501.6249006,760,147.0
1575939506.129952,770,150.0
1575939510.9495041,780,179.0
1575939515.7304416,790,157.0
1575939520.70551,800,178.0
1575939532.4735682,810,139.0
1575939537.28673,820,157.0
1575939541.6465726,830,122.0
1575939546.5511954,840,175.0
1575939551.064242,850,130.0
1575939561.2043097,860,161.0
1575939565.8835182,870,186.0
1575939571.2766988,880,200.0
1575939576.4160357,890,151.0
1575939581.106632,900,200.0
1575939591.7271907,910,169.0
1575939596.4717126,920,164.0
1575939601.5431774,930,148.0
1575939606.3397565,940,146.0
1575939611.1933842,950,167.0
1575939621.0652816,960,156.0
1575939625.8767931,970,162.0
1575939631.2085822,980,187.0
1575939635.7426786,990,178.0
1575939640.7024176,1000,200.0
1575939651.5475905,1010,200.0
1575939655.839903,1020,172.0
1575939661.1418743,1030,139.0
1575939665.7831633,1040,160.0
1575939670.4793422,1050,165.0
1575939679.9927726,1060,140.0
1575939684.7733817,1070,153.0
1575939689.2631307,1080,139.0
1575939693.7633317,1090,134.0
1575939698.415215,1100,136.0
1575939707.6461964,1110,141.0
1575939712.5998023,1120,149.0
1575939717.3635497,1130,172.0
1575939721.941825,1140,200.0
1575939726.627601,1150,200.0
1575939738.5564344,1160,150.0
1575939743.0815375,1170,185.0
1575939747.8247807,1180,60.0
1575939752.8606389,1190,159.0
1575939757.8479774,1200,156.0
1575939769.0916321,1210,137.0
1575939773.0242524,1220,154.0
1575939777.2447217,1230,200.0
1575939781.689585,1240,134.0
1575939785.9666116,1250,122.0
1575939791.0532303,1260,197.0
1575939795.4963937,1270,150.0
1575939799.5396388,1280,26.0
1575939803.4042156,1290,200.0
1575939807.3391745,1300,73.0
1575939818.0929835,1310,120.0
1575939822.7287548,1320,106.0
1575939827.8972843,1330,200.0
1575939831.7034338,1340,56.0
1575939835.3470135,1350,138.0
1575939840.7453935,1360,123.0
1575939844.9867957,1370,191.0
1575939849.7755086,1380,183.0
1575939854.6749194,1390,200.0
1575939859.5582032,1400,200.0
1575939871.8703692,1410,164.0
1575939876.3432941,1420,185.0
1575939880.9797437,1430,127.0
1575939884.944207,1440,176.0
1575939889.8644528,1450,169.0
1575939899.1642914,1460,146.0
1575939904.3657696,1470,200.0
1575939909.099064,1480,48.0
1575939913.5978801,1490,200.0
1575939918.7663195,1500,200.0
1575939928.657953,1510,200.0
1575939933.3103583,1520,154.0
1575939938.2107627,1530,132.0
1575939941.5242064,1540,20.0
1575939944.8830266,1550,158.0
1575939954.6605773,1560,200.0
1575939959.0609062,1570,122.0
1575939962.892974,1580,141.0
1575939968.0844254,1590,174.0
1575939972.4308395,1600,142.0
1575939982.5032632,1610,23.0
1575939986.7077124,1620,129.0
1575939991.6699119,1630,178.0
1575939996.5548081,1640,147.0
1575940002.202113,1650,131.0
1575940013.343259,1660,200.0
1575940017.26219,1670,200.0
1575940021.832006,1680,141.0
1575940026.1952767,1690,189.0
1575940031.1411798,1700,200.0
1575940043.2325392,1710,200.0
1575940047.3834882,1720,124.0
1575940051.7434337,1730,161.0
1575940056.6116338,1740,200.0
1575940060.8595648,1750,127.0
1575940072.4627168,1760,200.0
1575940077.1513677,1770,190.0
1575940081.0347407,1780,120.0
1575940085.5998383,1790,150.0
1575940089.9750068,1800,200.0
1575940098.289685,1810,123.0
1575940102.247512,1820,117.0
1575940106.8503373,1830,164.0
1575940110.0068667,1840,11.0
1575940114.6076496,1850,200.0
1575940122.9726362,1860,153.0
1575940127.8803244,1870,200.0
1575940131.5322309,1880,33.0
1575940135.1490507,1890,97.0
1575940139.9877996,1900,126.0
1575940150.7993977,1910,125.0
1575940155.1539702,1920,200.0
1575940160.4331787,1930,200.0
1575940165.2658107,1940,124.0
1575940169.7206383,1950,200.0
1575940178.7117934,1960,200.0
1575940183.6805646,1970,148.0
1575940189.0100732,1980,114.0
1575940192.9253957,1990,166.0
1575940196.626429,2000,149.0
1575940207.6543489,2010,105.0
1575940211.4389157,2020,200.0
1575940216.8765929,2030,200.0
1575940221.674142,2040,81.0
1575940226.2936616,2050,100.0
1575940236.9683807,2060,200.0
1575940242.2976933,2070,200.0
1575940246.9188347,2080,200.0
1575940251.8984559,2090,139.0
1575940254.9987142,2100,107.0
1575940262.903873,2110,163.0
1575940266.9198706,2120,196.0
1575940271.7236047,2130,200.0
1575940276.529908,2140,131.0
1575940280.9611712,2150,138.0
1575940291.968303,2160,134.0
