Wall time,Step,Value
1575957474.1160188,0,9.0
1575957474.7204554,10,10.0
1575957474.9050252,20,8.0
1575957475.0970948,30,11.0
1575957475.283566,40,9.0
1575957475.4665766,50,10.0
1575957476.0686297,60,10.0
1575957476.2552412,70,9.0
1575957476.4383776,80,9.0
1575957476.6217868,90,10.0
1575957476.8026972,100,10.0
1575957478.2417812,110,10.0
1575957478.687195,120,9.0
1575957479.1094377,130,10.0
1575957479.5525358,140,11.0
1575957479.9616299,150,9.0
1575957480.8249044,160,9.0
1575957481.2760062,170,9.0
1575957481.71815,180,10.0
1575957482.1522214,190,11.0
1575957482.5833602,200,10.0
1575957483.47986,210,10.0
1575957483.9268768,220,10.0
1575957484.3900096,230,10.0
1575957484.8331165,240,10.0
1575957485.2786245,250,9.0
1575957486.151593,260,9.0
1575957486.5693972,270,10.0
1575957487.006644,280,9.0
1575957487.4442034,290,9.0
1575957488.019816,300,9.0
1575957489.037631,310,9.0
1575957489.4827433,320,11.0
1575957489.9518864,330,11.0
1575957490.468919,340,11.0
1575957490.9921322,350,12.0
1575957495.3224285,360,40.0
1575957496.7081041,370,31.0
1575957498.0780215,380,68.0
1575957500.986318,390,98.0
1575957505.6872506,400,164.0
1575957519.2874734,410,200.0
1575957524.4841654,420,152.0
1575957530.2630663,430,200.0
1575957535.393695,440,165.0
1575957538.4582555,450,26.0
1575957543.2378292,460,39.0
1575957547.548363,470,200.0
1575957553.8281898,480,200.0
1575957559.9445522,490,200.0
1575957565.8772974,500,174.0
1575957580.555116,510,168.0
1575957585.7772257,520,153.0
1575957591.016059,530,175.0
1575957595.1655772,540,161.0
1575957599.3732777,550,119.0
1575957609.3053477,560,177.0
1575957614.1729448,570,133.0
1575957618.1691608,580,129.0
1575957623.1672456,590,121.0
1575957627.1809344,600,119.0
1575957636.8677914,610,183.0
1575957642.668019,620,200.0
1575957648.6251526,630,148.0
1575957652.5891855,640,113.0
1575957657.181743,650,168.0
1575957669.4198723,660,110.0
1575957673.364958,670,137.0
1575957677.958034,680,107.0
1575957679.6278305,690,27.0
1575957683.9890828,700,200.0
1575957697.9888525,710,144.0
1575957703.102355,720,200.0
1575957707.108599,730,16.0
1575957712.8482497,740,200.0
1575957719.2688336,750,200.0
1575957733.6024592,760,200.0
1575957739.1681547,770,200.0
1575957745.529264,780,200.0
1575957750.618293,790,167.0
1575957756.1075344,800,200.0
1575957770.5828054,810,200.0
1575957776.699813,820,200.0
1575957782.0160854,830,170.0
1575957788.1224809,840,200.0
1575957794.339709,850,200.0
1575957809.0939748,860,200.0
1575957814.9530065,870,188.0
1575957820.4633653,880,133.0
1575957826.3399825,890,190.0
1575957832.4265444,900,187.0
1575957843.8926187,910,200.0
1575957849.6882296,920,152.0
1575957854.531216,930,179.0
1575957859.4086182,940,142.0
1575957862.259055,950,15.0
1575957867.4491153,960,160.0
1575957872.9881308,970,185.0
1575957879.1216972,980,200.0
1575957885.1576746,990,112.0
1575957890.855312,1000,200.0
1575957906.106617,1010,200.0
1575957912.3087418,1020,200.0
1575957918.6421356,1030,200.0
1575957924.9679954,1040,200.0
1575957929.4984336,1050,126.0
1575957939.451711,1060,173.0
1575957943.2852356,1070,145.0
1575957947.9325259,1080,135.0
1575957952.46098,1090,200.0
1575957958.2428875,1100,157.0
1575957971.506064,1110,143.0
1575957975.8661191,1120,160.0
1575957980.380661,1130,123.0
1575957985.0409842,1140,176.0
1575957990.282476,1150,191.0
1575958003.1230326,1160,113.0
1575958006.7151706,1170,104.0
1575958010.5621438,1180,138.0
1575958013.9783099,1190,26.0
1575958020.364122,1200,200.0
1575958035.4638922,1210,168.0
1575958040.11885,1220,124.0
1575958043.4903183,1230,119.0
1575958048.4104724,1240,181.0
1575958053.7591312,1250,12.0
1575958058.8244293,1260,200.0
1575958065.1418588,1270,200.0
1575958071.308358,1280,181.0
1575958077.7446926,1290,200.0
1575958083.5498927,1300,200.0
1575958098.8457346,1310,200.0
1575958105.3897176,1320,200.0
1575958111.711297,1330,200.0
1575958117.3433084,1340,200.0
1575958123.7248168,1350,200.0
1575958138.9825394,1360,200.0
1575958145.3650587,1370,200.0
1575958151.5928757,1380,163.0
1575958156.4439461,1390,133.0
1575958159.6306286,1400,117.0
1575958170.2966015,1410,200.0
1575958176.3720095,1420,198.0
1575958181.6370769,1430,199.0
1575958186.7401202,1440,173.0
1575958193.0631938,1450,200.0
1575958208.1657875,1460,200.0
1575958214.5390577,1470,200.0
1575958220.9193842,1480,200.0
1575958227.3467617,1490,200.0
1575958232.1258383,1500,13.0
1575958237.4474885,1510,156.0
1575958243.2073967,1520,200.0
1575958249.5984752,1530,200.0
1575958255.3637438,1540,200.0
1575958261.2386043,1550,186.0
1575958273.152224,1560,200.0
