Wall time,Step,Value
1575975473.3272126,0,38.0
1575975476.850113,10,89.0
1575975478.531866,20,13.0
1575975479.9135792,30,37.0
1575975481.5311947,40,30.0
1575975485.4138596,50,165.0
1575975497.4883332,60,189.0
1575975503.8823848,70,149.0
1575975509.3583002,80,173.0
1575975515.4595459,90,187.0
1575975521.4532151,100,200.0
1575975537.8270073,110,200.0
1575975544.4698157,120,200.0
1575975547.3410494,130,200.0
1575975552.9797723,140,200.0
1575975559.363272,150,200.0
1575975574.6757717,160,200.0
1575975579.7334828,170,176.0
1575975585.8549895,180,115.0
1575975591.3589184,190,200.0
1575975596.5668612,200,149.0
1575975608.3225965,210,138.0
1575975612.818662,220,152.0
1575975619.3186479,230,200.0
1575975624.0978806,240,140.0
1575975628.9830143,250,200.0
1575975639.135011,260,129.0
1575975642.7301803,270,25.0
1575975648.9262521,280,200.0
1575975653.6811097,290,109.0
1575975656.6362488,300,55.0
1575975662.506454,310,200.0
1575975668.566856,320,200.0
1575975674.3325253,330,103.0
1575975680.4347274,340,200.0
1575975686.1536572,350,200.0
1575975702.6730173,360,200.0
1575975707.2388694,370,200.0
1575975712.2406802,380,166.0
1575975718.1512365,390,62.0
1575975722.6116793,400,161.0
1575975737.200814,410,108.0
1575975740.7188594,420,14.0
1575975746.221201,430,173.0
1575975751.1122315,440,148.0
1575975755.0052774,450,139.0
1575975766.21339,460,185.0
1575975771.2515852,470,148.0
1575975776.9115446,480,128.0
1575975779.6406283,490,118.0
1575975784.6131816,500,135.0
1575975795.3876207,510,30.0
1575975800.8806314,520,130.0
1575975805.0018055,530,117.0
1575975809.4145093,540,119.0
1575975814.5273418,550,181.0
1575975825.0552957,560,183.0
1575975829.647623,570,200.0
1575975834.913161,580,138.0
1575975840.3215952,590,136.0
1575975846.4918745,600,200.0
1575975862.7039816,610,200.0
1575975864.9616237,620,169.0
1575975871.061197,630,193.0
1575975877.1248336,640,166.0
1575975882.052329,650,184.0
1575975895.2464619,660,200.0
1575975899.668358,670,123.0
1575975904.427047,680,149.0
1575975909.6338155,690,168.0
1575975915.0064356,700,200.0
1575975930.242379,710,200.0
1575975935.3355656,720,131.0
1575975940.9787738,730,106.0
1575975944.6980436,740,137.0
1575975949.9231563,750,200.0
1575975962.9732857,760,123.0
1575975966.8417788,770,200.0
1575975971.960057,780,200.0
1575975977.1033208,790,161.0
1575975982.7823348,800,159.0
1575975995.4640298,810,200.0
1575975999.465138,820,128.0
1575976005.0936294,830,165.0
1575976010.951332,840,183.0
1575976015.9858613,850,142.0
1575976026.4775445,860,171.0
1575976032.013509,870,125.0
1575976034.5950468,880,127.0
1575976038.696785,890,187.0
1575976044.5055892,900,59.0
1575976052.2131789,910,174.0
1575976057.3441756,920,146.0
1575976062.4258506,930,166.0
1575976067.6450868,940,127.0
1575976072.810868,950,200.0
1575976082.644498,960,84.0
1575976086.0382621,970,200.0
1575976090.5558467,980,16.0
1575976095.468542,990,135.0
1575976100.9689987,1000,191.0
1575976114.1443224,1010,133.0
1575976118.6947923,1020,109.0
1575976121.7523422,1030,10.0
1575976126.633506,1040,171.0
1575976131.7247772,1050,186.0
1575976139.5114057,1060,200.0
1575976145.2535174,1070,72.0
1575976148.9402926,1080,47.0
1575976153.5870388,1090,129.0
1575976157.7636387,1100,40.0
1575976169.1171792,1110,200.0
1575976175.0438943,1120,67.0
1575976180.8153632,1130,168.0
1575976184.0583959,1140,62.0
1575976188.0510533,1150,149.0
1575976197.5443158,1160,200.0
1575976203.0093074,1170,157.0
1575976205.925261,1180,12.0
1575976211.7897372,1190,200.0
1575976214.988308,1200,141.0
1575976226.4305427,1210,200.0
1575976231.987382,1220,196.0
1575976235.8845456,1230,200.0
1575976240.89773,1240,117.0
1575976244.8216588,1250,184.0
1575976259.2288969,1260,93.0
1575976263.5351982,1270,16.0
1575976268.2561812,1280,81.0
1575976273.1075246,1290,111.0
1575976278.0006938,1300,21.0
1575976288.75834,1310,80.0
1575976293.583929,1320,114.0
1575976298.4949338,1330,92.0
1575976304.3221154,1340,200.0
1575976307.5530632,1350,92.0
1575976317.0702822,1360,133.0
1575976320.3902683,1370,188.0
1575976326.1943893,1380,198.0
1575976331.023898,1390,119.0
1575976335.0468593,1400,133.0
1575976345.6335564,1410,143.0
1575976350.6904132,1420,148.0
1575976353.9528327,1430,167.0
1575976359.876186,1440,130.0
1575976364.2614887,1450,165.0
1575976374.9361417,1460,200.0
1575976379.8578203,1470,168.0
1575976383.7228181,1480,200.0
1575976389.2929337,1490,200.0
1575976393.7239866,1500,31.0
1575976399.5296526,1510,10.0
1575976403.4989128,1520,200.0
1575976409.4785655,1530,200.0
1575976415.0026226,1540,123.0
1575976419.9055893,1550,169.0
1575976434.4845881,1560,200.0
1575976438.2103467,1570,127.0
1575976442.7412608,1580,149.0
1575976446.7725348,1590,200.0
1575976451.1683273,1600,200.0
1575976465.2217176,1610,151.0
1575976469.2298014,1620,112.0
1575976473.819475,1630,182.0
1575976477.6448925,1640,155.0
1575976482.6422832,1650,131.0
1575976492.6217182,1660,103.0
1575976497.940813,1670,167.0
1575976502.2089055,1680,9.0
1575976507.2089763,1690,200.0
1575976512.7162895,1700,200.0
1575976527.1033115,1710,13.0
1575976531.3336477,1720,200.0
1575976536.7935963,1730,27.0
1575976541.6647503,1740,30.0
1575976545.5142305,1750,47.0
1575976552.4036694,1760,175.0
1575976558.1760952,1770,152.0
1575976562.5967338,1780,12.0
1575976568.2233038,1790,200.0
1575976572.3400009,1800,200.0
1575976586.153302,1810,126.0
1575976589.513113,1820,115.0
1575976593.1918137,1830,124.0
1575976598.2177489,1840,128.0
1575976602.937752,1850,12.0
1575976609.4203577,1860,46.0
1575976614.3118622,1870,112.0
1575976618.6143534,1880,144.0
1575976623.9755075,1890,182.0
1575976627.2427983,1900,101.0
1575976634.0368438,1910,129.0
1575976638.1524684,1920,115.0
1575976641.1333466,1930,111.0
1575976645.8790395,1940,121.0
1575976650.1131077,1950,12.0
1575976660.7983046,1960,49.0
1575976663.45475,1970,94.0
1575976668.5678318,1980,127.0
1575976673.0049324,1990,55.0
1575976676.754179,2000,200.0
1575976688.9926078,2010,86.0
1575976693.8549306,2020,200.0
1575976698.4484546,2030,124.0
1575976701.5509632,2040,125.0
1575976706.850174,2050,140.0
1575976719.3203888,2060,113.0
1575976724.1993473,2070,200.0
1575976725.5956492,2080,17.0
1575976730.7759275,2090,180.0
1575976736.896316,2100,169.0
1575976749.632662,2110,125.0
1575976753.1452901,2120,116.0
1575976757.3453805,2130,154.0
1575976763.0295694,2140,200.0
1575976769.509021,2150,200.0
1575976781.423376,2160,112.0
1575976786.1868024,2170,200.0
1575976789.8382459,2180,40.0
1575976794.4856875,2190,175.0
1575976799.910617,2200,200.0
1575976812.8679256,2210,11.0
1575976818.3099182,2220,167.0
1575976822.841204,2230,189.0
1575976826.3271856,2240,103.0
1575976830.5138726,2250,129.0
1575976841.9855456,2260,200.0
1575976847.9530442,2270,200.0
1575976849.8677375,2280,200.0
1575976853.6022308,2290,61.0
1575976857.5711427,2300,121.0
1575976868.0521235,2310,125.0
1575976873.5179627,2320,198.0
1575976878.147517,2330,184.0
1575976883.7421923,2340,92.0
1575976888.5897799,2350,164.0
1575976900.9900548,2360,200.0
1575976905.4389431,2370,13.0
1575976909.5683525,2380,95.0
1575976913.1090097,2390,124.0
1575976918.666982,2400,157.0
1575976932.010474,2410,141.0
1575976936.9036505,2420,130.0
1575976942.5267994,2430,43.0
1575976946.9419274,2440,165.0
1575976951.9615417,2450,147.0
1575976963.7752182,2460,42.0
1575976968.207457,2470,156.0
1575976973.5722427,2480,118.0
1575976977.919133,2490,159.0
1575976982.282641,2500,9.0
1575976986.2561686,2510,90.0
1575976990.5087707,2520,32.0
1575976994.7522206,2530,138.0
1575976998.8168714,2540,135.0
1575977003.9876814,2550,192.0
1575977018.305009,2560,200.0
1575977023.5890968,2570,200.0
1575977027.992098,2580,128.0
1575977032.4628882,2590,124.0
1575977036.2245655,2600,200.0
1575977048.4314501,2610,127.0
1575977053.4277434,2620,187.0
1575977056.8356023,2630,22.0
1575977060.4302373,2640,29.0
1575977065.3503995,2650,181.0
1575977077.0965185,2660,148.0
1575977080.7950785,2670,30.0
1575977084.014975,2680,118.0
1575977088.2612398,2690,59.0
1575977091.2065558,2700,158.0
1575977103.4971583,2710,118.0
1575977106.669337,2720,10.0
1575977107.6389434,2730,26.0
1575977111.8093197,2740,96.0
1575977114.0311234,2750,112.0
1575977123.5539434,2760,115.0
1575977128.3642657,2770,160.0
1575977131.9955242,2780,88.0
1575977137.68755,2790,171.0
1575977141.5371485,2800,140.0
1575977151.4443693,2810,200.0
1575977156.9019158,2820,94.0
1575977162.2445173,2830,66.0
1575977163.9349163,2840,200.0
1575977169.458761,2850,200.0
1575977180.6660032,2860,121.0
1575977186.118587,2870,152.0
1575977190.1841178,2880,89.0
1575977192.7040558,2890,200.0
1575977198.0738354,2900,171.0
1575977210.199297,2910,98.0
1575977213.5449038,2920,98.0
1575977218.4272213,2930,200.0
1575977221.7431796,2940,14.0
1575977225.4810276,2950,117.0
1575977233.73472,2960,124.0
1575977237.63981,2970,99.0
1575977241.4100566,2980,122.0
1575977246.494017,2990,128.0
1575977250.2964692,3000,187.0
1575977264.32599,3010,131.0
1575977268.9686353,3020,121.0
1575977275.049377,3030,132.0
1575977279.2310362,3040,97.0
1575977283.0685232,3050,171.0
1575977294.818611,3060,185.0
1575977299.5361433,3070,149.0
1575977304.1570716,3080,170.0
1575977308.7582111,3090,90.0
1575977312.7363095,3100,98.0
1575977320.7040157,3110,95.0
1575977324.1963756,3120,100.0
1575977328.2169416,3130,136.0
1575977331.9694526,3140,23.0
1575977337.3397715,3150,190.0
1575977350.5472944,3160,135.0
1575977354.7637897,3170,123.0
1575977358.1078136,3180,100.0
1575977361.498807,3190,84.0
1575977364.4280365,3200,23.0
1575977371.3184683,3210,135.0
1575977376.0559661,3220,193.0
1575977381.8198981,3230,139.0
1575977385.1103609,3240,140.0
1575977391.4589715,3250,200.0
1575977404.8759081,3260,200.0
1575977409.0742624,3270,99.0
1575977412.0023572,3280,47.0
1575977415.590791,3290,53.0
1575977419.7876022,3300,136.0
1575977432.6339166,3310,147.0
1575977436.1205163,3320,134.0
1575977440.1632733,3330,40.0
1575977443.6164393,3340,141.0
1575977448.461319,3350,45.0
1575977453.1633723,3360,96.0
1575977458.582795,3370,178.0
1575977463.8575814,3380,198.0
1575977468.976615,3390,48.0
1575977474.1162956,3400,150.0
1575977489.4792972,3410,145.0
1575977494.845339,3420,134.0
1575977499.6066372,3430,101.0
1575977502.8250122,3440,103.0
1575977506.9641662,3450,161.0
1575977520.2451406,3460,200.0
1575977525.4665408,3470,121.0
1575977529.9440315,3480,117.0
1575977535.03454,3490,200.0
1575977541.0125093,3500,156.0
1575977556.0522418,3510,133.0
1575977559.7596304,3520,113.0
1575977562.2966797,3530,87.0
1575977568.0841968,3540,156.0
1575977573.8081682,3550,181.0
1575977584.2243838,3560,23.0
1575977589.2695436,3570,99.0
