Wall time,Step,Value
1575992426.4750397,0,32.0
1575992427.4445581,10,25.0
1575992427.688908,20,12.0
1575992427.940391,30,10.0
1575992428.1686058,40,8.0
1575992428.4117446,50,9.0
1575992429.3719423,60,9.0
1575992429.622927,70,10.0
1575992431.2219825,80,10.0
1575992432.3243215,90,22.0
1575992434.5472968,100,72.0
1575992447.205238,110,170.0
1575992453.7822902,120,200.0
1575992460.1089282,130,100.0
1575992466.1636355,140,30.0
1575992470.4050922,150,154.0
1575992483.9798882,160,149.0
1575992487.3920345,170,27.0
1575992488.2210882,180,20.0
1575992489.5491376,190,10.0
1575992490.5351799,200,9.0
1575992492.049941,210,9.0
1575992493.6342883,220,71.0
1575992500.4126682,230,200.0
1575992506.7945106,240,151.0
1575992511.220652,250,200.0
1575992520.327095,260,88.0
1575992522.9363074,270,88.0
1575992528.398196,280,200.0
1575992534.617525,290,160.0
1575992539.5472357,300,159.0
1575992546.4400747,310,13.0
1575992547.8911326,320,25.0
1575992550.1121871,330,90.0
1575992552.262501,340,76.0
1575992553.3279293,350,12.0
1575992554.9549725,360,40.0
1575992557.0403152,370,11.0
1575992560.1804469,380,11.0
1575992562.3501716,390,10.0
1575992563.445659,400,55.0
1575992565.8712077,410,44.0
1575992567.101902,420,62.0
1575992569.0058384,430,55.0
1575992570.5492985,440,10.0
1575992573.423543,450,11.0
1575992580.9686527,460,167.0
1575992584.2579374,470,53.0
1575992585.5428646,480,12.0
1575992587.0358326,490,10.0
1575992587.8945487,500,24.0
1575992590.586448,510,35.0
1575992591.4969096,520,77.0
1575992592.6843643,530,9.0
1575992594.3710861,540,9.0
1575992595.7434359,550,23.0
1575992598.3669593,560,26.0
1575992600.5239818,570,48.0
1575992601.815548,580,28.0
1575992603.6086066,590,76.0
1575992605.199939,600,9.0
1575992607.8499284,610,129.0
1575992609.8427293,620,11.0
1575992611.954785,630,29.0
1575992614.3996298,640,113.0
1575992618.5495877,650,54.0
1575992620.3704875,660,21.0
1575992622.582574,670,23.0
1575992623.6031647,680,10.0
1575992624.7192159,690,38.0
1575992625.671254,700,59.0
1575992629.9223683,710,39.0
1575992630.8352935,720,13.0
1575992631.9206314,730,12.0
1575992633.211533,740,39.0
1575992634.4935415,750,23.0
1575992636.4339626,760,21.0
1575992637.2043357,770,33.0
1575992638.098671,780,8.0
1575992639.395125,790,12.0
1575992640.907744,800,85.0
1575992647.26795,810,99.0
1575992650.9938319,820,42.0
1575992652.781617,830,10.0
1575992654.2858815,840,64.0
1575992656.012803,850,30.0
1575992658.5408452,860,24.0
1575992661.1702733,870,52.0
1575992663.2890332,880,42.0
1575992665.8843193,890,42.0
1575992668.1939323,900,84.0
1575992672.1108718,910,73.0
1575992673.6694267,920,12.0
1575992675.8445814,930,100.0
1575992678.535553,940,63.0
1575992680.7633944,950,9.0
1575992682.5970438,960,21.0
1575992684.024104,970,30.0
1575992685.6099112,980,70.0
1575992688.8244085,990,12.0
1575992691.3663456,1000,31.0
1575992692.98029,1010,13.0
1575992694.0340853,1020,10.0
1575992694.9507632,1030,11.0
1575992696.141799,1040,10.0
1575992697.1450696,1050,28.0
1575992699.6322918,1060,10.0
1575992700.8355553,1070,10.0
1575992701.8032308,1080,28.0
1575992702.7463589,1090,51.0
1575992704.2733119,1100,10.0
1575992705.4617121,1110,9.0
1575992706.1633625,1120,16.0
1575992706.7483904,1130,19.0
1575992707.4537463,1140,12.0
1575992708.482737,1150,11.0
1575992710.1899867,1160,12.0
1575992710.8296425,1170,21.0
