Wall time,Step,Value
1575954778.121107,0,65.0
1575954781.1116612,10,49.0
1575954782.2321608,20,15.0
1575954783.0308623,30,16.0
1575954785.6160643,40,143.0
1575954788.6787581,50,12.0
1575954792.204198,60,101.0
1575954795.1623654,70,37.0
1575954798.605299,80,200.0
1575954801.190906,90,33.0
1575954802.7366526,100,16.0
1575954810.4749756,110,102.0
1575954814.0756185,120,22.0
1575954816.8532937,130,78.0
1575954818.057255,140,33.0
1575954819.577216,150,10.0
1575954825.1080983,160,24.0
1575954825.8864894,170,33.0
1575954828.1247194,180,185.0
1575954830.7992117,190,83.0
1575954832.5727615,200,10.0
1575954838.2260613,210,56.0
1575954840.0070968,220,61.0
1575954840.616206,230,10.0
1575954841.7493978,240,55.0
1575954842.6691015,250,84.0
1575954843.809551,260,10.0
1575954844.8825843,270,8.0
1575954846.0582666,280,12.0
1575954846.65724,290,9.0
1575954847.6233053,300,22.0
1575954849.290479,310,12.0
1575954849.91402,320,12.0
1575954850.7834814,330,38.0
1575954851.748859,340,33.0
1575954852.3661659,350,13.0
1575954855.7605252,360,36.0
1575954856.7433329,370,45.0
1575954857.476153,380,31.0
1575954858.3165016,390,12.0
1575954858.9427896,400,26.0
1575954860.458983,410,37.0
1575954861.2655437,420,11.0
1575954862.3276367,430,9.0
1575954863.0967233,440,17.0
1575954864.2419422,450,39.0
1575954865.6599762,460,9.0
1575954866.6021717,470,35.0
1575954867.2663288,480,10.0
1575954867.9313262,490,29.0
1575954868.627043,500,19.0
1575954871.8076987,510,18.0
1575954872.477651,520,9.0
1575954872.978705,530,11.0
1575954873.6853712,540,10.0
1575954874.4917922,550,23.0
1575954879.3977976,560,72.0
1575954880.1567655,570,31.0
1575954881.105577,580,44.0
1575954882.3231993,590,50.0
1575954882.9420545,600,10.0
1575954884.5867584,610,10.0
1575954885.5651436,620,74.0
1575954886.576153,630,33.0
1575954888.0258205,640,24.0
1575954889.5945237,650,25.0
1575954894.5523107,660,12.0
1575954896.3225188,670,81.0
1575954897.4993396,680,27.0
1575954899.3762546,690,64.0
1575954900.1930082,700,12.0
1575954905.2825866,710,120.0
1575954906.0432212,720,10.0
1575954907.024287,730,28.0
1575954908.4539192,740,62.0
1575954909.642363,750,73.0
1575954914.8883438,760,40.0
1575954915.6599348,770,14.0
1575954916.1339352,780,9.0
1575954917.0714574,790,40.0
1575954917.8861697,800,10.0
1575954918.9198565,810,11.0
1575954919.5650027,820,10.0
1575954920.4634106,830,24.0
1575954921.3803947,840,21.0
1575954922.236982,850,11.0
1575954923.546391,860,37.0
1575954925.018671,870,33.0
1575954925.6542823,880,10.0
1575954926.4778156,890,10.0
1575954927.060066,900,24.0
1575954931.3273427,910,13.0
1575954932.2459223,920,10.0
1575954933.0491564,930,37.0
1575954933.8650928,940,20.0
1575954934.5137684,950,8.0
1575954939.0181353,960,9.0
1575954939.6871903,970,28.0
1575954940.4391491,980,51.0
1575954941.3949757,990,47.0
1575954942.1856081,1000,27.0
1575954943.6725702,1010,26.0
1575954944.688813,1020,10.0
1575954945.6432152,1030,11.0
1575954946.9784348,1040,11.0
1575954948.0154302,1050,8.0
1575954951.7783427,1060,10.0
1575954952.8311808,1070,36.0
1575954954.0798216,1080,34.0
1575954955.1759892,1090,10.0
1575954955.9830177,1100,44.0
